id,drzava,kratica,ime,letni_cas,stevilo_dni,cenovni_rang,opis,url
12,Črna gora,ME,Podgorica,Poletje,2,2,"Podgorica je živahno in dinamično mesto, ki ponuja edinstveno mešanico zgodovine, kulture in sodobnega udobja. Ne glede na to, ali vas zanima raziskovanje bogate kulturne dediščine mesta, uživanje v osupljivi naravni pokrajini ali doživetje njegovega živahnega trgovskega in industrijskega središča, je Podgorica idealna destinacija",https://www.aii-ps.org/images/Podgorica.jpg
13,Danska,DK,Kopenhagen,Poletje,3,3,"Kobenhavn je mesto v najstarejši monarhiji na svetu, ki s svojo posebnostjo preseneča na vsakem koraku. Sprehod po danski prestolnici navdušuje s krasno arhitekturo, številnimi parki in vrhunskimi restavracijami, ki privabljajo gurmane s celotnega sveta. Na seznam atrakcij je vredno dodati največjo znamenitost mesta, kip Male morske deklice, svetovno znan zabaviščni park Tivoli in svobodno mesto Christiania, poznano po alternativni umetnosti","https://www.citybreak.si/slir/w1600h800-p1-c1600.800/uploads/galleries/2853/Place,-Copenhagen-32528.jpg"
14,Estonija,EE,Talin,Poletje,2,2,"Talin, prestolnica Estonije, očara z vihravo mešanico srednjeveškega in modernega, njegovo staro mestno jedro pa zaneti ljubezen na prvi pogled. Staro mestno jedro Talina upravičeno imenujejo srednjeveški biser Estonije. Rajski kotiček z Unescovega seznama svetovne kulturne dediščine je pravi paradiž za sprehajalce, ravno dovolj žepen, da je obvladljiv brez zemljevida, in ravno dovolj prostran, da se ne naveličaš njegovih prikupnih ulic in trgov.","https://www.citybreak.si/slir/w1600h800-p1-c1600.800/uploads/galleries/2890/Place,-Tallinn-32608.jpg"
15,Finska,FI,Helsinki,Zima,3,3,"Finska prestolnica je čudovita skandinavska turistična destinacija z bogato zgodovino in odlično izhodišče za raziskovanje neokrnjene finske narave. Helsinki se nahajajo na polotoku, na severni obali finskega zaliva in se spogledujejo z Baltikom.",https://a.cdn-hotels.com/gdcs/production0/d1589/6d9eed40-c31d-11e8-9739-0242ac110006.jpg
16,Francija,FR,Pariz,Pomlad,6,3,"Romantični Pariz, kjer bodo na svoj račun prišli vsi, ne samo zaljubljenci. Pregrešno dobre sladice, vrhunski razgledi, nepozabne znamenitosti, lepo urejeni parki in vrhunski muzeji. Vse to najdemo v Parizu.",https://cdn.travelpulse.com/images/faa9edf4-a957-df11-b491-006073e71405/c0594e9a-dd27-41b9-b02b-0c0362deadce/600x400.jpg
17,Grčija,GR,Atene,Poletje,5,2,"Toplo, prijazno mediteransko mesto z 2 milijonoma prebivalcev, kjer je vsak kamen na naši poti del zgodovine.",https://www.letimzbrnika.si/wp-content/uploads/2017/11/athens-acropolis-feat.jpg
18,Gruzija,GE,Tbilisi,Pomlad,3,2,"Pisani Tbilisi je s svojimi širokimi bulvarji, labirintastimi starimi ulicami in živahnimi trgi mesto nasprotij, okusne hrane, vina in dolgih sprehodov.",https://images.musement.com/cover/0002/51/fotolia-83953715-subscription-xl-v2-jpg_header-150893.jpeg
19,Hrvaška,HR,Zagreb,Poletje,2,2,"Mesto bo obiskovalce očaralo z naravno privlačnostjo, izjemno dediščino in pristno umetniško sceno, posvečeno tudi ulični umetnosti, medtem ko so največja vrednost mesta prav njegovo vzdušje in ljudje, ki ti nikoli ne dajejo občutka, da Zagreb raziskuješ sam.",https://www.vandraj.si/wp-content/uploads/2020/02/popoln-vikend-izlet-zagreb-vandraj.jpg
20,Irska,IE,Dublin,Poletje,4,1,"Dublin, glavno mesto ter najpomembnejše gospodarsko in kulturno središče Irske, se je razvilo ob ustju reke Liffey. Danes velja za živahno mesto številnih trgovin, pivnic, muzejev, galerij, gledališč in prijaznih Ircev. Kljub velikosti (skorajda) nima visokih nebotičnikov, kar mu daje poseben čar","https://media.cntraveller.com/photos/611bf0fb7048754865719e3a/16:9/w_2580,c_limit/view-of-the-liffey-from-liberty-hall-dublin-ireland-conde-nast-traveller-4feb16-Tara-Morgan.jpg"
21,Islandija,IS,Reykjavik,Zima,3,2,"Glavno mesto Reykjavik je s 120 tisoč prebivalci največje islandsko mesto ter hkrati najbolj severno ležeča prestolnica na svetu, blizu polarnega kroga. Mesto je pred več ko 1100 leti ustanovil viking Ingolf Arnarson, v njem pa so zaradi tektonskih premikov pogosti ne tako močni potresi.",https://cdn.britannica.com/71/73371-050-9DFAEC1E/Reykjavik-Iceland.jpg
22,Italija,IT,Rim,Poletje,5,3,"Vročekrvna prestolnica Italije je eno najbolj romantičnih in karizmatičnih mest na svetu. Mešanica antičnih ruševin, navdušujoče umetnosti in živahnega uličnega življenja. Le redka mesta se lahko kosajo z osupljivo zgodovinsko, kulturno in umetnostno dediščino, kot jo ima Rim.",https://d19p4plxg0u3gz.cloudfront.net/6762474c-92af-11eb-8678-0242ac120010/original.jpeg
23,Kosovo,KO,Priština,Poletje,2,3,"Glavno mesto  je lepo, urejeno in prijetno mesto. Velja za glavno izobraževalno, kulturno in upravno mesto države Kosovo.",https://cdn.vox-cdn.com/thumbor/YOzBKx3GJg4yCud_SvIwkYDeK6Y=/0x0:4050x2700/1200x900/filters:focal(1701x1026:2349x1674)/cdn.vox-cdn.com/uploads/chorus_image/image/66041955/shutterstock_311334992.0.jpg
24,Latvija,LV,Riga,Jesen,2,3,"V starem mestnem jedru, znanem kot Sena Riga, se lahko sprehodiš v labirintu malih tlakovanih uličic, ki so polne lepih srednjeveških zgradb. Latvijci so zelo ponosni na 42 m visok kip, mogočen simbol latvijske neodvisnosti. Na granitni bazi najdemo napis »Za domovino in svobodo« ter ponazoritve štirih najpomembnejših vrednot: zaščite domovine, družine, dela in duhovnosti. Riga je mesto, ki se ponaša z razgibanim nočnim življenjem in v katerem čez dan v številnih barčkih postrežejo z zeliščnim “črnim balzamom”. Sami so ga razglasili za 'drugo mesto, ki nikoli ne spi'.",https://international-horizons.com/wp-content/uploads/2022/01/Blog-lettonie.jpg
25,Lihtenštajn,LI,Vaduz,Zima,1,1,Glavno mesto je polno kulturnih in zgodovinskih znamenitosti. V centru mesta lahko obiščete Kunstmuseum v katerem se nahaja bogata zbirka umetnin. Poleg tega se tukaj nahaja tudi grad v katerem še vedno živi knežja družina in ta za turiste ni dostopen. Lahko pa si ogledate njegovo lepo okolico ter vinograde.,https://www.tourdesuisse.ch/wp-content/uploads/2022/01/vaduz_schloss©roland_korner.jpg
26,Litva,LT,Vilna,Poletje,2,2,"Turistično najbolj zanimivo je zagotovo staro mestno jedro, ki je že od leta 1994 pod UNESCO-vo zaščito. Ob potepanju med ozkimi ulicami Vilne se lahko ustavite v katerem izmed mnogih gostinskih lokalov.",https://www.potpodnoge.si/wp-content/uploads/2019/03/litva.jpg
27,Luksemburg,LU,Luksemburg,Zima,2,2,"Samo mesto ni prav veliko, vendar se prekriva več hribov in sotesk in se ponaša z veliko parki, gozdovi in UNESCO svetovno dediščinskimi kraji.",https://krakowairport.pl/blog/wp-content/uploads/2020/12/luks3-1450-px.jpg
28,Madžarska,HU,Budimpešta,Jesen,4,1,"Marsikdo se v Budimpešto odpravi v času božičnega sejma, saj naj bi bil le-ta čudovit. A tudi izven prazničnega mesta je Budimpešta s svojo podobo, ki se razteza na levi in desni breg reke Donave prav tako izjemna, sploh ko boste na mesto zrli še z razgledne točke (npr. grič Gellert).",https://alpetour.si/wp-content/uploads/2022/01/shutterstock_768128938_budimpesta-800x400.jpg
29,Makedonija,MK,Skopje,Poletje,2,3,"Če želiš v enem samem mestu raziskovati moderno, absurdno, tradicionalno, kaotično, eksotično in nerazumljivo, potem je Skopje pravi izbor. To je mesto, v katerem se lahko pred novim nakupovalnim središčem hkrati ustavita  konjska vprega in avto najdražjega razreda.  Na eni strani reke Vardar si ogleduješ novo kičasto neoklasicistično stavbo, medtem ko na svoji desni zagledaš družino, ki živi v šotoru. Skopje vsekakor sodi v najvišji svetovni vrh po številu kipov, ki krasijo mesto. ",https://www.macedonia-timeless.com/wp-content/uploads/2018/08/skopje-voin-na-konj-centar.jpg
30,Malta,MT,Valeta,Jesen,3,1,"Valletta je zgodovinsko mesto, ki so ga v 16. stoletju zgradili vitezi sv. Janeza. Mesto je znano po dobro ohranjeni baročni arhitekturi, vključno s sokatedralo sv. Janeza, palačo velikega mojstra in zgornjimi vrtovi Barrakka. Mesto je tudi dom številnih muzejev in galerij, vključno z Narodnim muzejem arheologije in Narodnim vojnim muzejem.",https://upload.wikimedia.org/wikipedia/commons/b/b7/St_Sebastian_Curtain_%28cropped%29.jpg
31,Moldavija,MD,Kišinjev,Jesen,3,3,"Kišinjev ima bogato kulturno dediščino in je znan po svoji zgodovinski arhitekturi, vključno s slavolokom zmage, Narodnim zgodovinskim muzejem in metropolitansko katedralo. V mestu je tudi veliko parkov in vrtov, vključno z botaničnim vrtom in mestnim parkom.",https://putnikofer.hr/wp-content/uploads/2021/09/najjeftinija-mjesta-za-putovanje-1.jpg
32,Monako,MC,Monako,Poletje,1,1,"Monako je predvsem država glamurja, luksuznega življenja, prestižnih dogodkov in nesramno dragih avtomobilov. Poleg svojega slovesa kot zelo bogata država, slovi predvsem po zloglasni ulični dirki formule 1 Monaco Grad Prix, ki poteka po zavitih mestnih ulicah. Kljub luksuznim jahtam in najdražjim nepremičninam na svetu, najdemo v Monaku kar nekaj zanimivosti, ki jih je vredno obiskati.",https://images.24ur.com/media/images/884xX/Sep2019/0744a4942a_62315535.jpg?v=d41d
33,Nemčija,DE,Berlin,Jesen,4,3,"Ne glede nato ali vas zanima čas pred padcem znamenitega berlinskega zidu ali pa ste bolj za novo sodobno zgodovino, hipster lokacije, umetnost, elektronsko zabavo…. Berlin vas res ne bo razočaral.",https://media.timeout.com/images/105303515/750/422/image.jpg
34,Nizozemska,NL,Amsterdam,Pomlad,5,1,"Amsterdam je verjetno eno najbolj popularnih evropskih mest za city break, kar ni prav nič nenavadnega, saj ima mesto cel kup izjemnih znamenitosti. Največ ljudi sicer Amsterdam povezuje z rdečo četrtjo in znamenitimi kavarnami, a v mestu najdemo muzeje, parke, vodne kanale, tržnice.",https://www.vandraj.si/wp-content/uploads/2019/02/amsterdam_nizozemska_povratni_let1.jpg
35,Norveška,NO,Oslo,Poletje,5,3,"Norveška prestolnica Oslo je za mnoge eno najlepših, a tudi najdražjih mest na svetu. Mesto slovi po odlični hrani in je pravi kulinarični raj. Številne znamenitosti vključujejo odlične muzeje in galerije ter slikovito prizorišče nordijskih skokov. Oslo je s številnimi parki, botaničnim vrtom in trajnostno naravnanostjo postalo Zelena prestolnica Evrope 2019. Ob večerih zaživi tudi družabno življenje za različne okuse - od degustacij vin do nočnih zabav.",https://a.cdn-hotels.com/gdcs/production106/d1597/5303351b-a7d2-4775-994a-348002ea13d2.jpg
36,Polska,PL,Varšava,Jesen,4,3,"Glavno in največje mesto Poljske, ki leži ob reki Visli, je bilo nekoč znano tudi kot Pariz vzhodne Evope. Sprehod po živahni ulici Nowy Swiat razkriva, zakaj. Mesto je bilo v drugi svetovni vojni skoraj popolnoma uničeno, danes pa na novo zgrajena moderna Varšava ponosno razkazuje svoj dvojni obraz – staro se prepleta z novim, tradicija z modenim, bogato z revnim. Najbolj živahno je poleti, ko se napolnijo zeleni parki ob reki in prijetni bari z živo glasbo, zabava pa traja dolgo v noč.",https://www.youth-hostel.si/assets/images/upload/Globetrotter/2022/02_Marec/Poljska/Ogled_Varsave_-_Tour_of_Warsaw_-_Photo_by_Iwona_Castiello_d_Antonio_on_Unsplash.jpg
37,Portugalska,PT,Lisbona,Poletje,4,1,"Slikovita prestolnica leži na sedmih gričih ob izlivu reke Tejo v Atlantski ocean. Poseben čar ji daje bližina peščenih plaž. Odkrivanje tlakovanih ulic, starodavnih ruševin in katedral z belimi kupolami je najbolj prijetno, če skočite na ikonični rumeni tramvaj. Lisbona je mesto čudovitih razgledov, ki se ponujajo z razglednih točk in romantičnih teras lokalov, kjer strežejo morske sprecialitete, pasteis de nata in sladek portovec.",https://www.potepuh.si/upload/gallery/3006/istock-936915366-1920x1080.jpg
38,Romunija,RO,Bukarešta,Pomlad,3,2,"Dinamična prestolnica Romunije je mesto nasprotij. Slavoloki in široke avenije nakazujejo na čas, ko so mestu rekli »Pariz vzhoda«, kasneje pa je arhitekturno podobo mesta zaznamovala ideologija diktatorja Ceausescu-ja. Najmogočnejša mestna stavba je palača parlamenta, druga največja upravna stavba na svetu. Bukarešta obiskovalce vabi na ogled bogatih muzejev in pravoslavnih cerkev ter k uživanju v prijetnih parkih, trendovskih kavarnah in trgovinicah.
",https://medisf.traasgpu.com/ifis/fc786c1a277733ab.jpg
39,Rusija,RU,Moskva,Pomlad,4,1,"Moskva je moderna prestolnica, kjer se prepleta večstoletna tradicija in sodobnost. Na eni strani občudujemo kupole pravoslavnih cerkva, na drugi se bohotijo nebotičniki s prihodnosti. Je večno mesto ob reki Moskvi, ki je preživelo revolucije in požare, invazije in diktature. ",https://www.agencija-oskar.si/pictures/rusija-moskva-cerkev-vasilija-blazenega-3.jpg
40,San Marino,SM,San Marino,Poletje,1,2,"San Marino je najmanjša in hkrati naj bi bila tudi najstarejša republika na svetu. San Marino meri le 61 kvadratnih kilometrov, a kljub temu ponuja za vsakogar nekaj. Sploh pa bodo v starem delu mesta uživali vsi ljubitelji razgledov, nakupovanja in zgodovine",https://images.squarespace-cdn.com/content/v1/569e766e69492e9dd5373ef6/8520f700-5759-4a23-9ce1-3dd09415db59/Aperture_Tours_San_Marino_002.jpg?format=1000w
41,Srbija,RS,Beograd,Poletje,2,2,"Beograd, mesto z zelo burno zgodovino, je eno najstarejših mest v Evropi. Njegova zgodovina je stara približno 7000 let.
Beograd ima veliko znamenitosti. To so ulice in trgi, javni vodnjaki in parki, stavbe, trdnjava in cerkve, spomeniki, reke ter druge kulturne in naravne znamenitosti.
Med znamenitejšimi ulicami so Knez Mihailova, ki povezuje Trg republike in Kalemegdan,
V Beogradu se letno odvija več kot 9.000 gledaliških predstav, umetniških razstav, koncertov, prireditev in drugih kulturnih programov. ",https://www.onlycroatia.com/media/cities/124/1518.jpg
42,Slovaška,SK,Bratislava,Pomlad,3,1,"Izlet v Bratislavo je kot nalašč za kakšen vikend pobeg z avtom. Najbolj popularna je Bratislava sicer zaradi piva, golaža in nočnega življenja, ampak glavno mesto Slovaške ponuja kar nekaj zgodovine in ostalih znamenitosti – grad Devin, razgledna ploščad UFO, TV stolp Kamzik, mestni grad",https://www.vandraj.si/wp-content/uploads/2016/06/shutterstock_158023259-1.jpg
43,Slovenija,SI,Ljubljana,Jesen,2,1,"Ljubljana je mesto, ki vam ponuja veliko ne glede na vreme ali letni čas. Ponaša se s številnimi znamenitostmi, slikovitimi predeli in prijetnimi kotički.
Gostom prijazna, zelena prestolnica zelene države, vas bo navdušila s svojo turistično in kulturno ponudbo. Značilno podobo mesta ob reki, ki se vije skozi staro mestno jedro, s slikovitimi mostovi in tržnico,",https://adventurousmiriam.com/wp-content/uploads/2015/06/Ljubljana1-scaled.jpg
44,Španija,ES,Madrid,Poletje,4,2,"Madrid je mesto, ki ima vse, kar prestolnica potrebuje, in še več. Ima dušo, ki poskrbi, da se tja vračaš in vračaš in se ga nikoli ne naveličaš. Madrid je mesto stotin različnih obrazov, med njegovimi ulicami pa je mogoče vse. ",https://www.vandraj.si/wp-content/uploads/2016/11/madrid_shutterstock_143885179.jpg
45,Švedska,SE,Stockholm,Poletje,4,2,"Je upravno, kulturno, prometno, nakupovalno in poslovno središče Švedske. Stockholm je kot glavno mesto sedež švedske vlade in švedskega parlamenta. Tu je tudi rezidenca švedske vodje države; trenutno kralja Carla Gustava XVI. Slikovito mesto je znano predvsem po svoji znameniti legi, saj poleg tega, da leži na kopnem, središče mesta leži na neštetih otočkih jezera Mälaren, od tod tudi ime 'Mesto na vodi' oz. 'severne Benetke'.",https://media.timeout.com/images/105171709/image.jpg
46,Švica,CH,Bern,Zima,3,3,"Bern ima bogato kulturno dediščino in je znan po srednjeveškem starem mestnem jedru, ki je na Unescovem seznamu svetovne dediščine. Za staro mestno jedro so značilne ozke tlakovane ulice, zgodovinski vodnjaki in tradicionalna arhitektura, vključno z ikoničnim stolpom z uro (Zytglogge). Mesto je tudi dom številnih muzejev in galerij, vključno z Bernskim muzejem naravne zgodovine in Švicarskim narodnim muzejem. ",https://www.bern.com/assets/images/7/altstadt2-884b8f17.jpg
47,Turčija,TR,Ankara,Poletje,4,3,"Je sodobno mesto, kjer se na vsakem koraku v obliki stavb in ruševin prepletajo pričevalci izjemno bogate in raznolike zgodovine kraja. Najbolj mogočna stavba v mestu je Ataturkov mavzolej, kjer je na ogled 40 tonski sarkofag očeta naroda.",https://travelingandholidays.com/article/1961/1961-1593612612-2.jpg
48,Ukrajina,UA,Kijev,Jesen,3,1,"Nahaja se v severnem osrednjem delu države in je pomembno kulturno, znanstveno, izobraževalno in industrijsko središče. Kijev ima bogato zgodovino, saj je bil ustanovljen pred več kot 1500 leti.",https://potovanja.nomago.si/wp-content/uploads/2019/08/shutterstock-494130667-ukrajina-kijev.jpg
49,Vatikan,VA,Vatikan,Poletje,1,1,"Vatikan je dom številnih znamenitih in zgodovinsko pomembnih zgradb in spomenikov, vključno z baziliko svetega Petra, Sikstinsko kapelo, Vatikanskimi muzeji in Vatikanskimi vrtovi. Vatikan je sedež rimskokatoliške cerkve in rezidenca papeža.",https://vatican-city-tickets.com/wp-content/uploads/2023/05/Vatican-City-is-the-smallest-country-in-the-world.webp
50,Velika Britanija,GB,London,Jesen,6,3,"Svetovna metropola je polna življenja, muzejev, kultnih zgradb, zanimivih četrti in nekoliko drugačnega evropskega utripa.",https://imageio.forbes.com/specials-images/imageserve/650c862355d28e8e5c997fac/London-symbols-with-BIG-BEN--DOUBLE-DECKER-BUSES-and-Red-Phone-Booth-in-England--UK/0x0.jpg?format=jpg&height=1044&width=1566
